Distribution,Doors,Won % switch, Won % non-switch
laplace,248,99.0,1.0
logistic,248,100.0,0.0
uniform,248,99.0,1.0
rayleigh,248,100.0,0.0
normal,249,100.0,0.0
binomial,249,98.0,2.0
exponential,249,100.0,0.0
poisson,249,99.0,1.0
laplace,249,99.0,1.0
logistic,249,99.0,1.0
uniform,249,99.0,1.0
rayleigh,249,100.0,0.0
normal,250,99.0,1.0
binomial,250,99.0,1.0
exponential,250,100.0,0.0
poisson,250,99.0,1.0
laplace,250,100.0,0.0
logistic,250,100.0,0.0
uniform,250,100.0,0.0
rayleigh,250,100.0,0.0
normal,251,100.0,0.0
binomial,251,100.0,0.0
exponential,251,99.0,1.0
poisson,251,100.0,0.0
laplace,251,99.0,1.0
logistic,251,99.0,1.0
uniform,251,98.0,2.0
rayleigh,251,98.0,2.0
normal,252,99.0,1.0
binomial,252,99.0,1.0
exponential,252,99.0,1.0
poisson,252,98.0,2.0
laplace,252,99.0,1.0
logistic,252,99.0,1.0
uniform,252,100.0,0.0
rayleigh,252,100.0,0.0
normal,253,99.0,1.0
binomial,253,99.0,1.0
exponential,253,97.0,3.0
poisson,253,100.0,0.0
laplace,253,100.0,0.0
logistic,253,100.0,0.0
uniform,253,99.0,1.0
rayleigh,253,100.0,0.0
