Distribution,Trials,Won % switch, Won % non-switch
binomial,332,73.4939759,26.5060241
exponential,332,26.5060241,73.4939759
poisson,332,70.48192771,29.51807229
laplace,332,56.92771084,43.07228916
logistic,332,52.71084337,47.28915663
uniform,332,40.6626506,59.3373494
rayleigh,332,53.31325301,46.68674699
normal,342,40.64327485,59.35672515
binomial,342,62.28070175,37.71929825
exponential,342,54.09356725,45.90643275
poisson,342,31.87134503,68.12865497
laplace,342,53.80116959,46.19883041
logistic,342,69.29824561,30.70175439
uniform,342,66.66666667,33.33333333
rayleigh,342,51.4619883,48.5380117
normal,352,38.06818182,61.93181818
binomial,352,59.65909091,40.34090909
exponential,352,18.18181818,81.81818182
poisson,352,52.27272727,47.72727273
laplace,352,57.67045455,42.32954545
logistic,352,73.01136364,26.98863636
uniform,352,26.13636364,73.86363636
rayleigh,352,68.46590909,31.53409091
normal,362,65.46961326,34.53038674
binomial,362,44.47513812,55.52486188
exponential,362,33.42541436,66.57458564
poisson,362,56.35359116,43.64640884
laplace,362,56.35359116,43.64640884
logistic,362,61.87845304,38.12154696
uniform,362,43.09392265,56.90607735
rayleigh,362,48.34254144,51.65745856
normal,372,64.78494624,35.21505376
binomial,372,33.60215054,66.39784946
exponential,372,62.09677419,37.90322581
poisson,372,34.40860215,65.59139785
laplace,372,44.89247312,55.10752688
logistic,372,51.07526882,48.92473118
uniform,372,69.35483871,30.64516129
rayleigh,372,32.52688172,67.47311828
normal,382,53.66492147,46.33507853
binomial,382,65.18324607,34.81675393
exponential,382,26.96335079,73.03664921
poisson,382,72.2513089,27.7486911
laplace,382,67.01570681,32.98429319
logistic,382,56.02094241,43.97905759
uniform,382,37.69633508,62.30366492
rayleigh,382,46.07329843,53.92670157
normal,392,80.6122449,19.3877551
binomial,392,61.47959184,38.52040816
exponential,392,61.2244898,38.7755102
poisson,392,54.33673469,45.66326531
laplace,392,77.04081633,22.95918367
logistic,392,18.36734694,81.63265306
uniform,392,48.7244898,51.2755102
rayleigh,392,56.8877551,43.1122449
normal,402,44.02985075,55.97014925
binomial,402,51.49253731,48.50746269
exponential,402,58.20895522,41.79104478
poisson,402,42.039801,57.960199
laplace,402,31.5920398,68.4079602
logistic,402,71.14427861,28.85572139
uniform,402,36.8159204,63.1840796
rayleigh,402,47.26368159,52.73631841
normal,412,43.93203883,56.06796117
binomial,412,50,50
exponential,412,21.11650485,78.88349515
poisson,412,80.82524272,19.17475728
laplace,412,38.10679612,61.89320388
logistic,412,71.11650485,28.88349515
uniform,412,48.54368932,51.45631068
rayleigh,412,66.50485437,33.49514563
normal,422,74.17061611,25.82938389
binomial,422,72.03791469,27.96208531
exponential,422,57.81990521,42.18009479
poisson,422,49.52606635,50.47393365
laplace,422,55.21327014,44.78672986
logistic,422,38.62559242,61.37440758
uniform,422,39.33649289,60.66350711
rayleigh,422,56.16113744,43.83886256
normal,432,43.28703704,56.71296296
binomial,432,75.69444444,24.30555556
exponential,432,57.87037037,42.12962963
poisson,432,40.0462963,59.9537037
laplace,432,37.26851852,62.73148148
logistic,432,59.72222222,40.27777778
uniform,432,56.71296296,43.28703704
rayleigh,432,76.38888889,23.61111111
normal,442,47.05882353,52.94117647
binomial,442,57.239819,42.760181
exponential,442,57.69230769,42.30769231
poisson,442,40.04524887,59.95475113
laplace,442,46.3800905,53.6199095
logistic,442,41.62895928,58.37104072
uniform,442,25.11312217,74.88687783
rayleigh,442,44.57013575,55.42986425
normal,452,65.48672566,34.51327434
binomial,452,51.54867257,48.45132743
exponential,452,52.43362832,47.56637168
poisson,452,51.54867257,48.45132743
laplace,452,57.52212389,42.47787611
logistic,452,60.61946903,39.38053097
uniform,452,39.60176991,60.39823009
rayleigh,452,66.81415929,33.18584071
normal,462,80.73593074,19.26406926
binomial,462,34.84848485,65.15151515
exponential,462,33.54978355,66.45021645
poisson,462,62.77056277,37.22943723
laplace,462,32.68398268,67.31601732
logistic,462,61.9047619,38.0952381
uniform,462,67.31601732,32.68398268
rayleigh,462,64.71861472,35.28138528
normal,472,66.73728814,33.26271186
binomial,472,38.77118644,61.22881356
exponential,472,46.61016949,53.38983051
poisson,472,70.97457627,29.02542373
laplace,472,38.34745763,61.65254237
logistic,472,41.52542373,58.47457627
uniform,472,36.01694915,63.98305085
rayleigh,472,60.80508475,39.19491525
normal,482,42.73858921,57.26141079
binomial,482,34.23236515,65.76763485
exponential,482,40.66390041,59.33609959
poisson,482,59.75103734,40.24896266
laplace,482,44.81327801,55.18672199
logistic,482,66.59751037,33.40248963
uniform,482,34.85477178,65.14522822
rayleigh,482,30.08298755,69.91701245
normal,492,42.4796748,57.5203252
binomial,492,69.91869919,30.08130081
exponential,492,36.99186992,63.00813008
poisson,492,43.08943089,56.91056911
laplace,492,31.30081301,68.69918699
logistic,492,28.25203252,71.74796748
uniform,492,34.75609756,65.24390244
rayleigh,492,48.37398374,51.62601626
normal,502,28.28685259,71.71314741
binomial,502,36.45418327,63.54581673
exponential,502,56.1752988,43.8247012
poisson,502,47.80876494,52.19123506
laplace,502,50,50
logistic,502,63.14741036,36.85258964
uniform,502,48.00796813,51.99203187
rayleigh,502,27.68924303,72.31075697
normal,512,45.5078125,54.4921875
binomial,512,50.390625,49.609375
exponential,512,78.515625,21.484375
poisson,512,43.9453125,56.0546875
laplace,512,69.7265625,30.2734375
logistic,512,36.71875,63.28125
uniform,512,58.0078125,41.9921875
rayleigh,512,62.109375,37.890625
normal,522,59.57854406,40.42145594
binomial,522,22.4137931,77.5862069
exponential,522,35.05747126,64.94252874
poisson,522,53.44827586,46.55172414
laplace,522,26.62835249,73.37164751
logistic,522,50.19157088,49.80842912
uniform,522,53.25670498,46.74329502
rayleigh,522,31.80076628,68.19923372
normal,532,33.27067669,66.72932331
binomial,532,60.90225564,39.09774436
exponential,532,71.9924812,28.0075188
poisson,532,76.5037594,23.4962406
laplace,532,59.77443609,40.22556391
logistic,532,57.51879699,42.48120301
uniform,532,80.45112782,19.54887218
rayleigh,532,58.27067669,41.72932331
normal,542,48.70848708,51.29151292
binomial,542,81.36531365,18.63468635
exponential,542,71.21771218,28.78228782
poisson,542,60.51660517,39.48339483
laplace,542,26.19926199,73.80073801
logistic,542,45.01845018,54.98154982
uniform,542,36.34686347,63.65313653
rayleigh,542,70.11070111,29.88929889
normal,552,24.45652174,75.54347826
binomial,552,51.08695652,48.91304348
exponential,552,68.11594203,31.88405797
poisson,552,63.76811594,36.23188406
laplace,552,65.76086957,34.23913043
logistic,552,64.13043478,35.86956522
uniform,552,33.15217391,66.84782609
rayleigh,552,72.64492754,27.35507246
normal,562,13.87900356,86.12099644
binomial,562,40.03558719,59.96441281
exponential,562,84.16370107,15.83629893
poisson,562,67.61565836,32.38434164
laplace,562,63.34519573,36.65480427
logistic,562,60.14234875,39.85765125
uniform,562,38.96797153,61.03202847
rayleigh,562,28.82562278,71.17437722
normal,572,26.22377622,73.77622378
binomial,572,40.73426573,59.26573427
exponential,572,51.57342657,48.42657343
poisson,572,23.77622378,76.22377622
laplace,572,54.1958042,45.8041958
logistic,572,45.1048951,54.8951049
uniform,572,42.30769231,57.69230769
rayleigh,572,36.18881119,63.81118881
normal,582,71.30584192,28.69415808
binomial,582,58.07560137,41.92439863
exponential,582,45.70446735,54.29553265
poisson,582,48.28178694,51.71821306
laplace,582,69.07216495,30.92783505
logistic,582,56.87285223,43.12714777
uniform,582,33.33333333,66.66666667
rayleigh,582,23.71134021,76.28865979
normal,592,45.43918919,54.56081081
binomial,592,55.57432432,44.42567568
exponential,592,51.68918919,48.31081081
poisson,592,64.69594595,35.30405405
laplace,592,38.51351351,61.48648649
logistic,592,58.27702703,41.72297297
uniform,592,56.08108108,43.91891892
rayleigh,592,84.7972973,15.2027027
normal,602,61.96013289,38.03986711
binomial,602,62.62458472,37.37541528
exponential,602,55.64784053,44.35215947
poisson,602,43.35548173,56.64451827
laplace,602,77.24252492,22.75747508
logistic,602,30.3986711,69.6013289
uniform,602,37.54152824,62.45847176
rayleigh,602,49.83388704,50.16611296
normal,612,62.09150327,37.90849673
binomial,612,80.22875817,19.77124183
exponential,612,61.76470588,38.23529412
poisson,612,60.94771242,39.05228758
laplace,612,66.17647059,33.82352941
logistic,612,42.15686275,57.84313725
uniform,612,68.95424837,31.04575163
rayleigh,612,42.97385621,57.02614379
normal,622,31.35048232,68.64951768
binomial,622,50.1607717,49.8392283
exponential,622,38.90675241,61.09324759
poisson,622,75.24115756,24.75884244
laplace,622,38.585209,61.414791
logistic,622,19.45337621,80.54662379
uniform,622,75.56270096,24.43729904
rayleigh,622,54.34083601,45.65916399
normal,632,34.65189873,65.34810127
binomial,632,31.17088608,68.82911392
exponential,632,42.40506329,57.59493671
poisson,632,41.13924051,58.86075949
laplace,632,43.35443038,56.64556962
logistic,632,29.11392405,70.88607595
uniform,632,67.87974684,32.12025316
rayleigh,632,26.58227848,73.41772152
normal,642,72.58566978,27.41433022
binomial,642,37.38317757,62.61682243
exponential,642,38.94080997,61.05919003
poisson,642,44.70404984,55.29595016
laplace,642,71.02803738,28.97196262
logistic,642,38.47352025,61.52647975
uniform,642,38.16199377,61.83800623
rayleigh,642,59.50155763,40.49844237
normal,652,55.21472393,44.78527607
binomial,652,56.59509202,43.40490798
exponential,652,37.26993865,62.73006135
poisson,652,34.35582822,65.64417178
laplace,652,28.37423313,71.62576687
logistic,652,40.64417178,59.35582822
uniform,652,39.26380368,60.73619632
rayleigh,652,33.74233129,66.25766871
normal,662,33.98791541,66.01208459
binomial,662,38.21752266,61.78247734
exponential,662,63.89728097,36.10271903
poisson,662,36.10271903,63.89728097
laplace,662,72.96072508,27.03927492
logistic,662,35.95166163,64.04833837
uniform,662,54.07854985,45.92145015
rayleigh,662,38.67069486,61.32930514
normal,672,46.13095238,53.86904762
binomial,672,36.16071429,63.83928571
exponential,672,15.92261905,84.07738095
poisson,672,45.83333333,54.16666667
laplace,672,76.48809524,23.51190476
logistic,672,52.5297619,47.4702381
uniform,672,64.43452381,35.56547619
rayleigh,672,45.08928571,54.91071429
normal,682,46.92082111,53.07917889
binomial,682,44.13489736,55.86510264
exponential,682,24.04692082,75.95307918
poisson,682,65.68914956,34.31085044
laplace,682,40.61583578,59.38416422
logistic,682,64.80938416,35.19061584
uniform,682,29.61876833,70.38123167
rayleigh,682,46.92082111,53.07917889
normal,692,54.19075145,45.80924855
binomial,692,38.43930636,61.56069364
exponential,692,63.58381503,36.41618497
poisson,692,31.21387283,68.78612717
laplace,692,47.97687861,52.02312139
logistic,692,27.4566474,72.5433526
uniform,692,29.9132948,70.0867052
rayleigh,692,56.93641618,43.06358382
normal,702,43.44729345,56.55270655
binomial,702,41.5954416,58.4045584
exponential,702,37.46438746,62.53561254
poisson,702,69.8005698,30.1994302
laplace,702,26.06837607,73.93162393
logistic,702,65.24216524,34.75783476
uniform,702,73.78917379,26.21082621
rayleigh,702,33.9031339,66.0968661
normal,712,75.98314607,24.01685393
binomial,712,48.03370787,51.96629213
exponential,712,41.85393258,58.14606742
poisson,712,53.65168539,46.34831461
laplace,712,34.97191011,65.02808989
logistic,712,80.33707865,19.66292135
uniform,712,43.67977528,56.32022472
rayleigh,712,38.62359551,61.37640449
